"Date","Price","Open","High","Low","Vol.","Change %"
"01/10/2024","42,250","42,700","42,900","41,900","6.77M","-1.05%"
"01/09/2024","42,700","43,150","43,200","42,400","9.02M","-1.16%"
"01/08/2024","43,200","44,300","44,300","43,200","6.21M","-1.48%"
"01/05/2024","43,850","43,200","44,100","43,000","9.04M","1.50%"
"01/04/2024","43,200","43,200","43,800","43,000","8.52M","0.00%"
"01/03/2024","43,200","42,400","43,450","42,000","6.08M","1.77%"
"01/02/2024","42,450","43,100","43,300","42,150","7.14M","-0.82%"
"12/29/2023","42,800","43,200","43,300","42,650","4.18M","-0.58%"
"12/28/2023","43,050","42,850","43,250","42,800","6.37M","0.47%"
"12/27/2023","42,850","42,700","43,050","42,550","5.24M","0.35%"
"12/26/2023","42,700","42,550","43,150","42,350","6.77M","0.12%"
"12/25/2023","42,650","42,350","43,700","42,350","8.48M","0.71%"
"12/22/2023","42,350","42,450","42,650","42,000","6.07M","-0.70%"
"12/21/2023","42,650","42,200","42,700","41,850","7.21M","0.59%"
"12/20/2023","42,400","40,650","42,400","40,500","12.45M","4.31%"
"12/19/2023","40,650","39,500","40,900","39,200","5.74M","2.65%"
"12/18/2023","39,600","40,950","40,950","39,500","8.70M","-2.82%"
"12/15/2023","40,750","41,600","41,600","40,500","9.35M","-2.04%"
"12/14/2023","41,600","42,100","42,300","41,400","6.54M","-0.24%"
"12/13/2023","41,700","42,800","43,600","41,550","10.86M","-1.88%"
"12/12/2023","42,500","42,500","42,600","42,100","5.96M","0.00%"
"12/11/2023","42,500","42,600","42,650","41,900","6.21M","-0.23%"
"12/08/2023","42,600","40,800","43,000","40,400","16.80M","4.28%"
"12/07/2023","40,850","41,050","41,100","39,500","10.60M","-0.24%"
"12/06/2023","40,950","40,000","41,050","39,950","9.05M","2.38%"
"12/05/2023","40,000","39,950","40,100","39,700","6.20M","0.13%"
"12/04/2023","39,950","38,900","40,450","38,800","10.60M","3.10%"
"12/01/2023","38,750","38,750","39,000","38,050","4.16M","0.65%"
"11/30/2023","38,500","38,850","39,100","38,500","4.03M","-0.77%"
"11/29/2023","38,800","38,150","39,450","38,150","8.52M","2.11%"
"11/28/2023","38,000","38,050","38,150","37,350","6.13M","0.00%"
"11/27/2023","38,000","38,500","38,550","38,000","5.27M","-1.43%"
"11/24/2023","38,550","37,900","38,550","37,150","11.18M","3.35%"
"11/23/2023","37,300","40,000","40,300","37,300","8.07M","-6.28%"
"11/22/2023","39,800","40,800","40,850","39,300","14.50M","-2.69%"
"11/21/2023","40,900","41,500","41,500","40,600","5.78M","0.86%"
"11/20/2023","40,550","40,150","41,650","40,150","7.56M","-2.05%"
"11/17/2023","41,400","41,500","42,500","40,650","11.00M","-0.24%"
"11/16/2023","41,500","41,500","41,600","40,700","10.53M","-0.95%"
"11/15/2023","41,900","42,400","42,500","41,350","10.34M","0.96%"
"11/14/2023","41,500","41,000","42,100","40,800","15.24M","3.75%"
"11/13/2023","40,000","39,550","40,300","39,050","9.19M","1.52%"
"11/10/2023","39,400","39,750","40,300","39,000","11.05M","-2.23%"
"11/09/2023","40,300","40,500","41,350","39,900","12.14M","1.77%"
"11/08/2023","39,600","37,900","39,600","36,700","19.61M","3.66%"
"11/07/2023","38,200","37,900","39,450","37,500","10.42M","0.39%"
"11/06/2023","38,050","39,000","39,000","37,600","12.64M","-2.31%"
"11/03/2023","38,950","37,500","39,200","37,000","12.41M","5.27%"
"11/02/2023","37,000","35,900","37,400","33,600","21.18M","5.41%"
"11/01/2023","35,100","37,000","37,700","35,100","21.09M","-6.90%"
"10/31/2023","37,700","40,400","40,700","37,700","13.21M","-6.91%"
"10/30/2023","40,500","41,100","41,750","40,500","4.25M","-3.57%"
"10/27/2023","42,000","42,300","42,500","41,400","4.69M","0.00%"
"10/26/2023","42,000","42,200","42,400","40,500","15.05M","-3.45%"
"10/25/2023","43,500","43,000","44,200","43,000","4.77M","1.16%"
"10/24/2023","43,000","43,100","43,600","41,750","8.22M","0.00%"
"10/23/2023","43,000","44,700","44,850","42,600","8.58M","-3.80%"
"10/20/2023","44,700","43,000","45,000","43,000","7.02M","3.95%"
"10/19/2023","43,000","44,200","44,700","43,000","8.07M","-3.80%"
"10/18/2023","44,700","46,800","47,000","43,650","11.41M","-3.46%"
"10/17/2023","46,300","48,900","48,900","46,300","7.89M","-4.73%"
"10/16/2023","48,600","49,500","50,700","48,600","8.50M","-1.82%"
"10/13/2023","49,500","48,500","49,500","48,450","9.85M","2.27%"
"10/12/2023","48,400","49,300","49,500","48,200","13.70M","-1.83%"
"10/11/2023","49,300","49,000","49,300","48,600","3.48M","0.92%"
"10/10/2023","48,850","48,400","49,450","48,400","4.82M","1.88%"
"10/09/2023","47,950","48,350","48,900","47,650","6.46M","-0.72%"
"10/06/2023","48,300","46,900","48,500","46,300","5.19M","2.77%"
"10/05/2023","47,000","49,900","49,900","47,000","6.35M","-4.47%"
"10/04/2023","49,200","48,000","50,000","48,000","4.83M","0.41%"
"10/03/2023","49,000","51,500","51,500","48,300","8.98M","-5.59%"
"10/02/2023","51,900","52,600","53,000","51,800","4.21M","-1.33%"
"09/29/2023","52,600","53,800","53,800","52,600","4.95M","-0.75%"
"09/28/2023","53,000","52,900","54,700","52,500","8.91M","1.92%"
"09/27/2023","52,000","51,100","52,000","50,200","4.90M","0.97%"
"09/26/2023","51,500","51,100","51,700","50,500","8.27M","0.98%"
"09/25/2023","51,000","51,600","53,000","49,900","7.69M","-2.11%"
"09/22/2023","52,100","53,100","53,400","51,300","11.80M","-3.87%"
"09/21/2023","54,200","55,800","55,800","54,200","9.50M","-2.87%"
"09/20/2023","55,800","55,100","56,200","54,600","6.83M","0.54%"
"09/19/2023","55,500","55,100","55,500","53,000","8.84M","0.91%"
"09/18/2023","55,000","55,600","55,600","54,100","6.61M","-1.61%"
"09/15/2023","55,900","57,500","57,500","55,400","7.84M","-2.44%"
"09/14/2023","57,300","57,700","58,500","57,100","8.44M","-0.35%"
"09/13/2023","57,500","56,100","59,300","55,500","16.05M","3.05%"
"09/12/2023","55,800","54,500","55,800","54,000","4.79M","2.39%"
"09/11/2023","54,500","55,800","56,200","53,800","8.46M","-1.80%"
"09/08/2023","55,500","54,500","56,500","54,500","7.81M","0.91%"
"09/07/2023","55,000","55,200","55,800","54,300","5.99M","0.00%"
"09/06/2023","55,000","54,300","55,600","53,800","5.12M","1.29%"
"09/05/2023","54,300","53,800","55,500","53,400","8.35M","0.93%"
"08/31/2023","53,800","54,000","54,400","53,500","5.21M","0.00%"
"08/30/2023","53,800","53,000","54,500","52,900","7.31M","1.70%"
"08/29/2023","52,900","51,800","53,200","51,500","8.30M","2.32%"
"08/28/2023","51,700","50,900","51,900","50,400","8.50M","2.38%"
"08/25/2023","50,500","50,300","51,400","50,000","7.14M","0.40%"
"08/24/2023","50,300","49,700","50,800","49,700","5.73M","1.21%"
"08/23/2023","49,700","50,700","50,700","49,200","4.96M","-0.60%"
"08/22/2023","50,000","49,100","50,200","47,350","10.15M","2.04%"
"08/21/2023","49,000","50,000","50,500","48,750","7.06M","-2.39%"
"08/18/2023","50,200","53,900","53,900","50,200","14.26M","-6.86%"
"08/17/2023","53,900","54,100","55,200","53,400","7.23M","0.19%"
"08/16/2023","53,800","54,000","54,300","53,000","5.14M","-0.37%"
"08/15/2023","54,000","54,600","55,900","54,000","8.38M","-0.37%"
"08/14/2023","54,200","53,900","54,300","52,600","9.62M","1.69%"
"08/11/2023","53,300","52,200","53,300","51,000","6.32M","2.50%"
"08/10/2023","52,000","53,000","53,000","51,700","4.98M","-1.14%"
"08/09/2023","52,600","53,400","53,400","52,000","8.97M","-1.87%"
"08/08/2023","53,600","54,000","54,300","53,400","5.74M","-0.37%"
"08/07/2023","53,800","53,700","54,900","53,300","6.49M","1.51%"
"08/04/2023","53,000","53,000","53,200","52,300","7.53M","0.57%"
"08/03/2023","52,700","51,800","53,700","51,400","8.00M","1.93%"
"08/02/2023","51,700","51,700","52,500","51,600","5.32M","0.00%"
"08/01/2023","51,700","54,100","54,100","51,700","7.53M","-3.72%"
"07/31/2023","53,700","54,000","54,200","52,600","7.86M","-1.47%"
"07/28/2023","54,500","53,900","54,900","53,200","3.87M","0.74%"
"07/27/2023","54,100","52,400","54,500","52,200","5.82M","3.84%"
"07/26/2023","52,100","53,090","53,685","51,506","5.45M","-1.86%"
"07/25/2023","53,090","53,982","53,982","52,397","4.43M","-1.65%"
"07/24/2023","53,982","52,496","53,982","51,506","4.07M","3.81%"
"07/21/2023","52,001","48,633","52,001","48,485","11.73M","6.93%"
"07/20/2023","48,633","47,940","49,029","47,940","5.45M","1.24%"
"07/19/2023","48,039","47,940","48,485","47,494","3.48M","0.94%"
"07/18/2023","47,593","47,940","48,138","47,296","4.61M","-1.23%"
"07/17/2023","48,188","49,029","49,376","48,188","2.79M","-1.62%"
"07/14/2023","48,980","48,881","48,980","48,039","5.90M","0.20%"
"07/13/2023","48,881","48,732","49,426","48,683","4.81M","0.41%"
"07/12/2023","48,683","47,890","48,831","47,742","4.79M","0.72%"
"07/11/2023","48,336","47,148","48,336","46,900","8.18M","2.20%"
"07/10/2023","47,296","45,612","47,296","45,365","10.23M","4.95%"
"07/07/2023","45,067","42,641","45,067","42,641","7.40M","5.32%"
